TIP_DOCUM_CLI|COD_DOCUM_CLI
RUC|20206428741
RUC|20206524465
RUC|20206882469
RUC|20206992647
RUC|20207107213
RUC|20207167623
RUC|20207338029
RUC|20207411397
RUC|20207807894
RUC|20208426100
RUC|20208642651
RUC|20208672721
RUC|20208735587
RUC|20209105692
RUC|20209443156
RUC|20210838016
RUC|20211040433
RUC|20212230180
RUC|20212324087
RUC|20212518795
RUC|20213533372
RUC|20213928989
RUC|20214059062
RUC|20214791103
RUC|20214821452
RUC|20215528791
RUC|20215558437
RUC|20215644431
RUC|20215645836
RUC|20216907834
RUC|20218409041
RUC|20218524819
RUC|20218598774
RUC|20218786261
RUC|20218926534
RUC|20219098236
RUC|20219345004
RUC|20219429445
RUC|20220310664
RUC|20220313337
RUC|20220535828
RUC|20221150733
RUC|20221151462
RUC|20221170688
RUC|20221556365
RUC|20221631910
RUC|20222120951
RUC|20222124353
RUC|20222335052
RUC|20223020195
RUC|20223140506
RUC|20223388206
RUC|20224162511
RUC|20224205008
RUC|20225477711
RUC|20226357191
RUC|20226560824
RUC|20227391155
RUC|20227496682
RUC|20227510006
RUC|20228278042
RUC|20228394468
RUC|20228547639
RUC|20229489039
RUC|20229995082
RUC|20230149632
RUC|20230937665
RUC|20231190644
RUC|20231431781
RUC|20231602349
RUC|20231941551
RUC|20232173689
RUC|20232238560
RUC|20250247703
RUC|20250975563
RUC|20251086126
RUC|20251341258
RUC|20252689461
RUC|20252814036
RUC|20253383241
RUC|20253401673
RUC|20253683636
RUC|20253739011
RUC|20253799855
RUC|20254003132
RUC|20254032825
RUC|20254165035
RUC|20254300188
RUC|20254432921
RUC|20254455114
RUC|20254713423
RUC|20255182766
RUC|20255689585
RUC|20256021294
RUC|20256177898
RUC|20256406595
RUC|20258262728
RUC|20258679637
RUC|20259379530
RUC|20259855676
RUC|20260100808
RUC|20260220536
RUC|20260352793
RUC|20261146321
RUC|20262352863
RUC|20262406114
RUC|20262612440
RUC|20262850545
RUC|20263003471
RUC|20263317573
RUC|20263702213
RUC|20263845839
RUC|20263864205
RUC|20263987625
RUC|20263992629
RUC|20264170231
RUC|20264529965
RUC|20265187251
RUC|20265391533
RUC|20265815830
RUC|20265826106
RUC|20266174307
RUC|20266231114
RUC|20266459051
RUC|20266610051
RUC|20267073580
RUC|20267163228
RUC|20267339105
RUC|20267681105
RUC|20267973149
RUC|20268218191
RUC|20268887785
RUC|20268891626
RUC|20269074541
RUC|20269356520
RUC|20270562966
RUC|20270796959
RUC|20272279021
RUC|20272316750
RUC|20272545198
RUC|20272746843
RUC|20272990086
RUC|20274014815
RUC|20274129809
RUC|20274697521
RUC|20275757650
RUC|20276103076
RUC|20276211391
RUC|20276597214
RUC|20277112869
RUC|20277127548
RUC|20277131570
RUC|20277412749
RUC|20278362915
RUC|20278540449
RUC|20278584659
RUC|20279001941
RUC|20279153708
RUC|20279604726
RUC|20280367878
RUC|20280649423
RUC|20282449081
RUC|20282574901
RUC|20283317979
RUC|20284321945
RUC|20285417083
RUC|20285809321
RUC|20285896461
RUC|20285948101
RUC|20285953449
